Kernel,C,Degree,Gamma,Coef0,Shrinking,Probability,Tol,MaxIter,Accuracy
linear,9.6735954062354,4.890737439859537,0.7151011776806903,0.5472322491757223,0.9762744547762418,0.21608949558037638,6.329632179069404e-05,698.0310957726736,0.59375
linear,2.6045253875960954,4.11753168717501,0.19848738952565284,0.4347915324044458,0.16384224140469872,0.9834006771753128,0.00597374210538466,863.130242363623,0.59375
linear,0.1889623669087943,1.1766402317259983,0.9566963147465217,0.3865712826436294,0.786305985935061,0.9489773067815628,0.008663026696518403,436.71050023291787,0.609375
linear,1.814337672809887,3.402970885511077,0.16880421153468542,0.07494858701310703,0.5279088234179203,0.4084438601520147,0.00937577826792547,733.6467873430594,0.59375
linear,5.264791612205084,1.6328936287391977,0.5456574490515096,0.10819338288723068,0.4014954435902729,0.6376102441259937,0.006498401285084404,524.8796759884049,0.59375
linear,4.029310028727154,4.069619868360496,0.1797949361310897,0.6239161135482231,0.6866670799163458,0.5025330593269344,0.0025375428069651703,376.20019281895486,0.609375
linear,5.591934543131329,4.582004664224584,0.3634907348446933,0.6249308440640977,0.4977941146173057,0.19144640211896335,0.0018252716003074973,637.9195159457179,0.59375
linear,9.191992087483651,4.3207524083933855,0.41735952837368423,0.43182207134122763,0.33117450309112273,0.40482521731090604,0.005721815563957214,904.7629211546235,0.59375
linear,8.469892126031722,3.382752468273338,0.08557694940938984,0.861014311753072,0.7325934485899678,0.24545370858310211,0.008946618271875071,597.6693407118557,0.59375
linear,5.1958663120401365,1.2602712495312294,0.5405346549131635,0.6035635103602064,0.3636503470448379,0.614562846350332,0.007677812585273128,130.05759688676724,0.53125
linear,0.5804879505535698,3.7360928604945105,0.5151390433865728,0.10981811811784403,0.4877376391496743,0.8437069939906554,0.008101634076839323,572.0697302431344,0.578125
linear,5.151411930019906,3.667711086158504,0.1495781125946229,0.9267206932402512,0.35028521085551567,0.8657749159440993,0.0018910685688020925,365.18862215043004,0.609375
linear,4.778950960741153,3.4757197065763745,0.4373295256475737,0.39278117482212993,0.41903403455230037,0.4124722116627568,0.009024316136905533,261.661235137201,0.65625
linear,9.798200994200805,1.3327364902834447,0.733265718878399,0.6235688394069139,0.34745133671105566,0.8260228670252195,0.0005897420614870731,679.0067170765051,0.59375
linear,6.1570359829073915,4.038118116653326,0.7946288942590656,0.12401461831327198,0.17377979375527586,0.9437975058830456,0.009425915911420075,409.218159963148,0.59375
linear,4.708347780693603,4.011280781921652,0.9812287092121295,0.7629936412753662,0.01597127753156069,0.040091124641168374,0.005433359859920318,973.3047161348018,0.59375
linear,0.4353884171942506,3.1396104066578103,0.6668918377041598,0.6574846358352725,0.949668939947844,0.2724714587237361,0.007282966132492277,441.8993636682974,0.59375
linear,0.16260697892827922,3.5267689804999183,0.2887487901707105,0.0993277648941745,0.35414553817936534,0.7815311238977097,0.009258160164195312,408.214055614366,0.609375
linear,7.232476002103701,1.7238593441004095,0.41018179827798174,0.5519264407313746,0.07365237412062664,0.9907968185170571,0.001348391317410771,763.1189080534801,0.59375
linear,7.426442827019066,1.3550914295608107,0.8295885317712847,0.8337813699213913,0.33992641648215505,0.6882212732041261,0.00444596210467847,786.9455821206494,0.59375
linear,3.7267277785901896,2.3132885475236327,0.32325240127700244,0.8404660647221822,0.9686741253771819,0.9199873476978978,0.008075681983192792,935.3555663764538,0.59375
linear,0.9604646146633757,3.228328301060816,0.8563275871568898,0.09091055162091022,0.9558045939839155,0.6368486728666009,0.0015197041267257397,884.313666111293,0.578125
linear,2.293651206807475,2.0272196835262286,0.31289282724777184,0.3324951669874965,0.029773996732739172,0.3753401433363357,0.005378278880089292,119.32707081725121,0.609375
linear,9.463700117286889,3.496612977321297,0.6122005362531273,0.4451251930602681,0.8248209282060244,0.7345190530086493,0.003359158249614665,933.4457889129592,0.59375
linear,9.083899999638003,2.6319290755758034,0.7377145214412616,0.1852092341733128,0.8606558621358812,0.8861342313541327,0.0016520160858784728,334.12292538203064,0.59375
linear,2.384384823104983,4.43488339395714,0.33988568331589475,0.05243487868640262,0.12322788872941182,0.27036548223830226,0.004569935478378891,393.85348163818907,0.609375
linear,2.423698825520132,1.8110601909578352,0.511875894853613,0.5631532349299258,0.9542190893326802,0.37183370636286006,0.0005730019566402131,948.377558058943,0.59375
linear,5.533170670992615,4.847013270983439,0.9252599460971943,0.5997974911891997,0.9759052816075154,0.7594861401652808,0.007365266139368726,511.3952233885372,0.59375
linear,9.544164142147398,2.927068645599724,0.660234336649338,0.938893979319266,0.8661241888403935,0.43702347241547124,0.005772743470454119,180.66978328498035,0.625
linear,2.8665906814870077,1.927420807273419,0.1258675722219372,0.12278925276601593,0.04289853088357365,0.38358001004032216,0.008387268258027854,234.5466497974721,0.65625
linear,4.097721590901289,3.5445360590565733,0.13370916445962347,0.5673689644963138,0.9862247233300526,0.15653221273175322,0.0010460479045907112,83.6249042010436,0.625
linear,4.284293622509483,3.3371026108351507,0.018516137700417174,0.8750623471340131,0.16773020775391967,0.3841476632154256,0.0033724611267309064,888.8138784553753,0.59375
linear,5.982066505556213,3.5732340852580102,0.6104962939182034,0.037745180036163894,0.1935149634645531,0.4260177602253441,0.00021427706517604161,229.5651281949063,0.65625
linear,5.880806752071881,4.36822659216808,0.19985659830979016,0.4453570445273576,0.06833463001706253,0.6674545325281052,0.0035540109522023983,441.15844811424955,0.59375
linear,6.891759401128232,2.455909289864174,0.5777863350921882,0.245071897044153,0.859881278059901,0.8767815026717546,0.008339934949954305,410.026156684771,0.59375
linear,4.320084550227999,3.555452412574381,0.4287268264607581,0.19012999559238153,0.939941534535331,0.6510515583677586,0.008082689016612772,506.3012637074791,0.59375
linear,1.3198446691643615,3.7082693308353214,0.32010576997430307,0.9074622090196786,0.5610325638154504,0.47496391917285996,0.005718675111740206,730.2629955626982,0.59375
linear,1.599743567523694,2.7429389649759988,0.05866737406981352,0.3619821182810956,0.47685286583114894,0.3268047693777706,0.00948062999541127,724.0087782380884,0.59375
linear,8.692886458371222,2.601086811152901,0.5716629696812816,0.27309617663809704,0.32375196008241247,0.7961843785511916,0.0011571709100150823,120.36243584684088,0.625
linear,7.101278500239123,1.10840160384176,0.5632208295229489,0.51490823808483,0.6575876207047427,0.03104266800163158,0.002502168969462063,764.4446356031506,0.59375
linear,4.409235451083821,3.1289140916600804,0.9388900797469687,0.07216742006758947,0.8482263273340079,0.06353737904188561,0.009475988059126441,305.51089198554985,0.640625
linear,4.961600430863994,4.634561650275275,0.7347846608160801,0.9085094844419105,0.845539100415939,0.16200423390405105,0.004157007599252474,831.4960048185486,0.59375
linear,2.938201660280324,4.4299729392942515,0.43373548515502525,0.5618622697026857,0.2853109319327871,0.28727828024231794,0.006970817327379074,78.69099915791891,0.515625
linear,9.555152782964342,2.014450103067782,0.7034267501716535,0.5501474275880516,0.6490077340637271,0.061629093926618306,0.003758147452880318,148.57928466110747,0.578125
linear,4.56299651543963,2.9187512782676146,0.6065380688251496,0.07398244677620602,0.516746763881536,0.021469889231514494,0.004868184368198824,982.5293560821507,0.59375
linear,6.288897828324319,2.992131636450702,0.5730085862569828,0.8531734331218442,0.906935114047634,0.7964420339509085,0.003227287475735013,503.05196326519115,0.59375
linear,7.271530358782094,2.493151328601662,0.8036925033600365,0.6547559484131957,0.5719225102895,0.49187326955992816,0.009489445372728379,695.358623539617,0.59375
linear,6.437683920438752,2.5225595665412994,0.7821225841325607,0.6348911246127822,0.32641177113789055,0.3094909778314623,0.006732291528733024,872.5116002222662,0.59375
linear,2.9596637511069472,2.152396286486131,0.6973814788803627,0.0817140255333002,0.6262375343969241,0.5800634944716171,0.005351507619527803,503.1628206786567,0.59375
linear,9.61690759082092,4.853528673873708,0.6936511462265965,0.8106634087627085,0.94109751393948,0.7513834523770657,0.0034051857949844947,801.9123754791859,0.59375
linear,3.3117737255748776,1.2712326383335855,0.961712911501836,0.011921328044363078,0.10788422569526912,0.12163763566341879,0.005176483633765913,475.4521452747722,0.59375
